artist_name,genres
Mariah Carey,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Faber Drive,['pop punk']
Nico & Vinz,"['dance pop', 'pop rap']"
Zee Avi,"['folk-pop', 'malaysian indie', 'malaysian pop']"
Mike Posner,"['dance pop', 'edm', 'pop', 'pop rap']"
Beyoncé,"['dance pop', 'pop', 'post-teen pop', 'r&b']"
LIEZA
Maren Morris,['contemporary country']
Madilyn Paige,"['channel pop', 'viral pop']"
DNCE,"['dance pop', 'pop', 'post-teen pop']"
AJR,"['modern rock', 'pop']"
John Mayer,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']","['blues-rock', 'modern blues']"
O-Town,"['boy band', 'dance pop']"
Macklemore,['pop rap'],"['dance pop', 'pop rap']"
Take That,"['boy band', 'dance pop', 'europop', 'pop']"
Josh Daniel
K'NAAN
HIRAIDAI
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
Lord Huron,"['folk-pop', 'indie folk', 'indie pop', 'new americana', 'stomp and holler']"
Kelly Clarkson,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'r&b', 'talent show']"
Alok,['electro house']
Gotye,"['australian alternative rock', 'australian pop']"
Jonas Blue,"['dance pop', 'edm', 'pop', 'tropical house']"
Kurt Hugo Schneider,"['australian pop', 'channel pop', 'post-teen pop', 'viral pop']"
We The Kings,"['emo', 'neo mellow', 'piano rock', 'pop emo', 'pop punk', 'pop rock', 'post-teen pop']"
Meghan Trainor,"['dance pop', 'hip pop', 'pop', 'post-teen pop']"
Mr.Siro,['vietnamese pop']
Skrillex,"['brostep', 'complextro', 'edm', 'electro']"
CHEN,"['k-pop', 'korean pop']","['channel pop', 'post-teen pop', 'viral pop']","['c-pop', 'cantopop', 'classic cantopop']",['mandopop'],"['chinese hip hop', 'mandopop']",['violin']
Alicia Keys,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
Riverdale Cast,"['pop', 'post-teen pop']"
