artist_name,song_name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Linkin Park,LOST IN THE ECHO,64,205120,0.546,0.98,9,-3.02,0,0.0619,0.0154,0,0.31,0.478,120.037,4
Linkin Park,In The End - Live In Madrid,31,228026,0.245,0.949,6,-3.68,1,0.0917,0.00205,0,0.981,0.362,104.976,4
BBMak,Listen,0,217730,0.459,0.636,11,-4.409,1,0.0473,0.397,0,0.252,0.203,122.98,4
G-Eazy,Good Life (with G-Eazy & Kehlani),68,225520,0.572,0.778,1,-5.208,1,0.233,0.00638,0,0.0563,0.54,168.073,4
Imagine Dragons,Thunder,15,187761,0.608,0.841,0,-3.798,1,0.0464,0.00593,0.0573,0.121,0.274,167.969,4
Gary Jules,Mad World (Feat. Michael Andrews),69,189506,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,4
Bebe Rexha,Bad Bitch (feat. Ty Dolla $ign),69,197253,0.656,0.615,5,-6.252,1,0.0539,0.0283,0,0.234,0.366,139.91,4
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,74,193613,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,4
Lady Gaga,The Cure,26,211363,0.696,0.503,8,-4.842,1,0.0356,0.0745,0,0.0869,0.559,99.977,4
Vice,Obsession (feat. Jon Bellion),52,221982,0.741,0.559,10,-7.775,1,0.03,0.00728,0.000971,0.21,0.466,101.999,4
Michael Christopher,I Won't Give Up,41,245001,0.431,0.275,4,-8.139,1,0.0298,0.773,0,0.0863,0.219,107.105,5
DJ Khaled,I'm the One,26,288876,0.599,0.667,7,-4.267,1,0.0367,0.0533,0,0.134,0.817,80.984,4
The Vamps,Middle Of The Night,7,176110,0.604,0.746,11,-4.299,0,0.0529,0.00342,0,0.0666,0.406,130.048,4
Travie McCoy,Billionaire (feat. Bruno Mars),72,211160,0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,4
Calvin Harris,Heatstroke,59,229640,0.786,0.735,0,-4.502,0,0.0495,0.362,0,0.176,0.747,110.124,4
Sam Hunt,Body Like A Back Road,79,165386,0.731,0.469,5,-7.226,1,0.0326,0.463,1.04e-06,0.103,0.631,98.963,4
MAX,Lights Down Low,62,225013,0.622,0.571,0,-5.338,0,0.0493,0.0458,0,0.122,0.635,81.059,4
Charlie Puth,Attention,33,211475,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,4
Luis Fonsi,Despacito - Remix,81,228826,0.653,0.816,2,-4.353,1,0.167,0.228,0,0.0967,0.816,178.086,4
Imagine Dragons,Warriors,22,171039,0.244,0.852,4,-6.16,0,0.0765,0.0721,0.00711,0.242,0.338,79.031,4
Martin Garrix,Scared to Be Lonely,82,220883,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,4
Linkin Park,What I've Done,76,205613,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",79,326466,0.701,0.728,2,-4.554,1,0.255,0.00971,0.00115,0.361,0.0591,171.388,4
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),70,186826,0.557,0.922,9,-4.335,0,0.065,0.0342,6.69e-06,0.529,0.524,151.989,4
Machine Gun Kelly,Alice In Wonderland,46,200339,0.797,0.836,8,-3.893,1,0.059,0.268,0,0.076,0.156,114.976,4
Machine Gun Kelly,Invincible,1,186706,0.635,0.89,1,-3.913,1,0.258,0.0365,0,0.169,0.233,91.706,4
Machine Gun Kelly,EST 4 Life,2,172666,0.65,0.884,5,-2.561,1,0.268,0.00197,0,0.176,0.422,150.957,4
Machine Gun Kelly,Half Naked & Almost Famous,4,171773,0.687,0.885,6,-3.312,1,0.104,0.00075,0,0.16,0.494,105.032,4
Machine Gun Kelly,See My Tears,0,249280,0.691,0.721,11,-7.249,0,0.265,0.0335,0,0.12,0.415,139.973,4
Machine Gun Kelly,Warning Shot,5,200626,0.558,0.893,5,-4.594,1,0.0613,0.000427,0,0.134,0.305,148.815,4
Machine Gun Kelly,Young Man,5,219181,0.835,0.356,5,-8.815,1,0.0677,0.0506,0.256,0.0863,0.0383,109.993,4
Machine Gun Kelly,Trap Paris (feat. Quavo & Ty Dolla $ign),0,203000,0.962,0.628,4,-5.045,0,0.0694,0.0205,1.04e-06,0.0897,0.19,124.98,4
Machine Gun Kelly,Bad Mother F*cker,10,213960,0.753,0.867,10,-5.029,0,0.0735,0.0166,2.76e-06,0.412,0.336,90.992,4
Machine Gun Kelly,A Little More,8,237453,0.659,0.718,7,-6.67,1,0.0443,0.095,0.00109,0.146,0.239,90.057,4
Machine Gun Kelly,Let You Go,0,185013,0.596,0.808,0,-3.86,0,0.0827,0.188,0,0.166,0.237,170.107,4
Machine Gun Kelly,Wild Boy,8,231373,0.799,0.68,10,-4.7,0,0.054,0.0304,0,0.244,0.506,140.065,4
Machine Gun Kelly,Till I Die,14,212213,0.865,0.621,0,-7.027,0,0.109,0.0285,0,0.136,0.344,110.044,4
Machine Gun Kelly,Alpha Omega,10,212560,0.769,0.736,6,-6.389,0,0.188,0.0992,0,0.217,0.218,124.051,4
Machine Gun Kelly,Bad Things - With Camila Cabello,11,239280,0.689,0.692,2,-4.756,1,0.133,0.229,0,0.184,0.285,137.832,4
Eminem,Not Afraid,27,248133,0.854,0.954,0,-1.185,0,0.246,0.543,0,0.201,0.67,114.609,5
Eminem,The Monster,29,250188,0.784,0.85,9,-3.679,1,0.0691,0.0492,0,0.112,0.567,110.004,4
Eminem,Rap God,29,363521,0.712,0.838,7,-2.679,1,0.313,0.403,0,0.809,0.607,148.138,4
Eminem,Love The Way You Lie,31,263373,0.746,0.922,10,-5.014,1,0.236,0.246,0,0.515,0.638,86.961,4
Eminem,'Till I Collapse,33,297893,0.551,0.851,1,-3.277,1,0.197,0.0748,0,0.0784,0.1,171.411,4
Gummy,You Are My Everything,4,240680,0.366,0.46,6,-5.364,1,0.0348,0.697,0,0.12,0.124,135.354,4
Shayne Ward,That's My Goal,24,219600,0.286,0.508,2,-5.966,1,0.0335,0.372,0,0.27,0.14,68.617,4
Shayne Ward,No Promises,48,223066,0.506,0.496,4,-6.086,1,0.0257,0.529,0,0.123,0.198,79.81,4
Shayne Ward,Stand by Me,26,254533,0.297,0.414,8,-7.63,1,0.0264,0.618,0,0.0978,0.201,164.975,3
Alicia Keys,No One - Acoustic,69,259569,0.379,0.325,4,-5.862,1,0.0331,0.712,0,0.0997,0.433,89.798,4
Linkin Park,Good Goodbye (feat. Pusha T and Stormzy),2,211413,0.697,0.84,9,-4.602,0,0.054,0.106,0,0.748,0.452,128.034,4
Justin Bieber,Home To Mama,15,203266,0.716,0.302,2,-11.119,1,0.0683,0.949,0.000147,0.118,0.492,90.004,4
Rixton,Me And My Broken Heart,21,193733,0.541,0.785,5,-4.199,0,0.0364,0.00631,0,0.135,0.503,174.088,4
5 Seconds of Summer,Don't Stop,45,169935,0.571,0.957,8,-3.468,1,0.0633,0.00209,1.5e-05,0.0425,0.892,149.946,4
5 Seconds of Summer,Amnesia,55,237247,0.594,0.497,2,-5.26,1,0.0303,0.0343,0,0.162,0.101,101.671,4
5 Seconds of Summer,She's Kinda Hot,12,216454,0.666,0.903,4,-4.82,1,0.0308,0.00207,0,0.11,0.883,118.034,4
5 Seconds of Summer,She Looks So Perfect,53,202496,0.494,0.951,9,-4.237,1,0.132,0.000569,0,0.327,0.441,160.025,4
JP Cooper,September Song,15,220290,0.623,0.656,0,-5.608,0,0.0416,0.0561,0,0.0855,0.366,95.878,4
Miley Cyrus,Party In The U.S.A.,78,202066,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
Lily Allen,Fuck You,63,219893,0.775,0.904,1,-4.08,0,0.0437,0.0271,0.000303,0.06,0.84,130.009,4
Hoobastank,The Reason,13,232800,0.473,0.643,4,-4.67,1,0.0293,0.0134,0,0.16,0.0781,82.95,4
The Chainsmokers,Paris,72,221506,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,4
The Chainsmokers,Something Just Like This,82,247160,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4
Kendrick Lamar,HUMBLE.,10,177604,0.907,0.591,1,-7.507,0,0.105,0.000359,2.81e-05,0.0897,0.418,149.992,4
Ed Sheeran,The A Team,71,258373,0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,4
Ed Sheeran,One,67,252760,0.464,0.321,2,-11.12,1,0.0418,0.877,0,0.0789,0.306,93.528,4
Ed Sheeran,Sing,72,235382,0.818,0.67,8,-4.451,0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,4
Ed Sheeran,Nina,62,225533,0.791,0.669,6,-7.189,0,0.146,0.175,0,0.33,0.809,92.013,4
Ed Sheeran,Tenerife Sea,73,241346,0.53,0.346,8,-10.497,1,0.0376,0.697,1.07e-05,0.105,0.359,121.876,4
Ed Sheeran,Runaway,63,205133,0.767,0.449,8,-7.158,0,0.0364,0.024,0.000299,0.151,0.908,95.03,4
Ed Sheeran,The Man,60,250426,0.759,0.725,11,-7.006,0,0.158,0.576,0,0.0771,0.619,87.467,4
Ed Sheeran,Afire Love,65,314280,0.552,0.637,5,-6.568,1,0.0445,0.464,1.63e-05,0.136,0.333,97.97,4
Ed Sheeran,Take It Back,66,208400,0.754,0.613,5,-6.342,1,0.229,0.318,0,0.335,0.904,113.196,4
Ed Sheeran,Shirtsleeves,60,190226,0.752,0.76,2,-5.34,1,0.0341,0.319,0,0.335,0.752,107.034,4
Ed Sheeran,Even My Dad Does Sometimes,61,228533,0.58,0.318,2,-8.926,1,0.0279,0.756,0.000171,0.117,0.295,129.757,3
Harry Styles,Sign of the Times,72,340706,0.518,0.575,5,-4.616,1,0.0302,0.0259,0,0.109,0.209,120.019,4
Sam Tsui,Beauty and the Beast,26,235047,0.179,0.325,8,-8.611,1,0.0324,0.776,0,0.0949,0.247,85.717,4
Missy & Blonde,Something Just Like This - Acoustic,70,189793,0.608,0.307,5,-10.859,0,0.0285,0.749,0.000252,0.156,0.505,99.938,4
Landon Austin,It Ain't Me,23,200588,0.708,0.646,0,-4.91,1,0.0361,0.665,0,0.156,0.561,101.939,4
Henry,Trap (feat. 규현&태민),0,225386,0.658,0.86,5,-2.898,0,0.0272,0.443,0,0.304,0.644,88.032,4
Ed Sheeran,"You Need Me, I Don't Need You",37,220413,0.749,0.837,7,-8.837,1,0.0512,0.162,0,0.525,0.927,103.483,4
